,X,First.Author..last.,First.Author..first.,et.al.,Modern.Latitude,Modern.Longitude,Modern.Location,Paleo.Latitude,Paleo.Longitude,Approximate.Age,Climate,Deposition.Setting,Numerical.Age,Period,Epoch,Age,Formation,Host.Litho,Year,DOI,Title,Citation..MLA.9.,Note
70,75,Koch,Roman,-,45.570799,14.032115,"Slivje, Slovenia",29.6736,20.5949,63.8,Boreotropical,Coastal,66-61.6,Paleogene,Paleocene,Early,Kozina Beds,-,1988,-,Diagenetic features of limestones from the Cretaceous/Tertiary boundary of SW Slovenia (Yugoslavia),"Koch, Roman. “Diagenetic Features of Limestones from the Cretaceous/Tertiary Boundary of SW Slovenia (Yugoslavia).” Geologija, vol. 31, no. 1, 1, June 1988, pp. 395–401.",
72,73,Koch,Roman,-,45.584699,14.009555,"Materija, Slovenia",29.6903,20.5802,63.8,Boreotropical,Coastal,66-61.6,Paleogene,Paleocene,Early,Kozina Beds,-,1988,-,Diagenetic features of limestones from the Cretaceous/Tertiary boundary of SW Slovenia (Yugoslavia),"Koch, Roman. “Diagenetic Features of Limestones from the Cretaceous/Tertiary Boundary of SW Slovenia (Yugoslavia).” Geologija, vol. 31, no. 1, 1, June 1988, pp. 395–401.",
74,71,Koch,Roman,-,45.603029,13.927325,"Kozina, Slovenia",29.7196,20.5194,63.8,Boreotropical,Coastal,66-61.6,Paleogene,Paleocene,Early,Kozina Beds,-,1988,-,Diagenetic features of limestones from the Cretaceous/Tertiary boundary of SW Slovenia (Yugoslavia),"Koch, Roman. “Diagenetic Features of Limestones from the Cretaceous/Tertiary Boundary of SW Slovenia (Yugoslavia).” Geologija, vol. 31, no. 1, 1, June 1988, pp. 395–401.",
99,99,Perkins,Ronald D,-,25.078717,-80.673385,"Everglades ,Florida, USA",24.9314,-79.5596,2.19,Warm Temperate,Coastal,2.58-1.8,Quaternary,Pleistocene,Early,L,-,1977,-,PART II: Depositional Framework of Pleistocene Rocks in South Florida,"Perkins, Ronald D. “PART II: Depositional Framework of Pleistocene Rocks in South Florida.” Geological Society of America Memoirs, vol. 147, Geological Society of America, 1977, pp. 131–98. DOI.org (Crossref), https://doi.org/10.1130/MEM147-p131.",
10,10,Ashley,Gail M.,"Driese, Steven G.",-2.993515,35.363641,"Olduvai Gorge, Tanzania",-3.8126,35.3897,1.75,Arid,Continental,1.75,Quaternary,Pleistocene,Calabrian,Lemuta member,Olduvai Basin,2000,10.1306/040300701065,"Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania","Ashley, G. M., and S. G. Driese. “Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania.” Journal of Sedimentary Research, vol. 70, no. 5, Sept. 2000, pp. 1065–80. DOI.org (Crossref), https://doi.org/10.1306/040300701065.",
11,11,Ashley,Gail M.,"Driese, Steven G.",-2.990601,35.366902,"Olduvai Gorge, Tanzania",-3.8096,35.393,1.75,Arid,Continental,1.75,Quaternary,Pleistocene,Calabrian,Lemuta member,Olduvai Basin,2000,10.1306/040300701065,"Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania","Ashley, G. M., and S. G. Driese. “Paleopedology and Paleohydrology of a Volcaniclastic Paleosol Interval: Implications for Early Pleistocene Stratigraphy and Paleoclimate Record, Olduvai Gorge, Tanzania.” Journal of Sedimentary Research, vol. 70, no. 5, Sept. 2000, pp. 1065–80. DOI.org (Crossref), https://doi.org/10.1306/040300701065.",
26,26,Carsten,Reinhold,-,48.680281,9.667305,"Stuttgart, Germany",33.7554,34.6259,158.155,Arid,Coastal-Continental,,Jurassic,Late,Oxfordian,limestone,Swabian Alb,1998,10.1306/D42687B6-2B26-11D7-8648000102C1865D,Ancient Helictites and the Formation of Vadose Crystal Silt in Upper Jurassic Carbonates (Southern Germany),"Carsten Reinhold. “Ancient Helictites and the Formation of Vadose Crystal Silt in Upper Jurassic Carbonates (Southern Germany).” SEPM Journal of Sedimentary Research, vol. Vol. 68 (1998), 1998. DOI.org (Crossref), https://doi.org/10.1306/D42687B6-2B26-11D7-8648000102C1865D.",
96,96,Norlund,Ulf,-,57.351002,17.036368,"Hälludden, Öland, Sweden",-46.5693,-45.469,481.965,Warm Temperate,Coastal,,Ordovician,Early,-,Limestone,-,1989,10.1080/11035898909454760,"Lithostratigraphy and sedimentology of a Lower Ordovician limestone sequence at Hälludden, Öland, Sweden","Nordlund, Ulf. “Lithostratigraphy and Sedimentology of a Lower Ordovician Limestone Sequence at Hälludden, Öland, Sweden.” Geologiska Föreningen i Stockholm Förhandlingar, vol. 111, no. 1, Mar. 1989, pp. 65–94. DOI.org (Crossref), https://doi.org/10.1080/11035898909454760.",
7,8,Armenteros,Ildefonso,-,41.576632,-3.690196,"Milagros, Spain",36.2827,-3.7766,14.185,Warm Temperate,Coastal-Continental,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
8,9,Armenteros,Ildefonso,-,41.593444,-3.824347,"Adrada de Haza, Spain",36.2979,-3.9015,14.185,Warm Temperate,Coastal-Continental,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
9,6,Armenteros,Ildefonso,-,41.594287,-3.8213274,"Adrada de Haza, Spain",36.2988,-3.8987,14.185,Warm Temperate,Coastal-Continental,,Neogene,Miocene,-,Lower Unit,Duero Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
105,105,Platt,Nigel H,-,46.686745,6.605398,"Lake Neuchatel-Lake Geneva, Switzerland",40.5251,5.19,25.165,Boreotropical,Coastal-Continental,,Paleogene,Oligocene,Chattian,M,-,1992,10.1016/0037-0738(92)90114-7,"Fresh-water carbonates from the Lower Freshwater Molasse (Oligocene, western Switzerland): sedimentology and stable isotopes","Platt, Nigel H. “Fresh-Water Carbonates from the Lower Freshwater Molasse (Oligocene, Western Switzerland): Sedimentology and Stable Isotopes.” Sedimentary Geology, vol. 78, no. 1–2, June 1992, pp. 81–99. DOI.org (Crossref), https://doi.org/10.1016/0037-0738(92)90114-7.",
149,150,Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang",37.57102513,108.3257314,"Central–eastern Ordos Basin, China",-9.4822,59.8877,462,Tropical,Coastal-Continental,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
151,152,Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang",37.62743796,109.318352,"Central–eastern Ordos Basin, China",-9.6355,60.672,462,Tropical,Coastal-Continental,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
152,149,Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang",38.3712165,108.3738305,"Central–eastern Ordos Basin, China",-8.7219,60.1432,462,Tropical,Coastal-Continental,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
153,151,Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang",38.47242138,109.0772238,"Central–eastern Ordos Basin, China",-8.7701,60.708,462,Tropical,Coastal-Continental,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
154,148,Yang,Mengying,"Tan, Xiucheng; Fei, Zhaolei; Lu, Zixing; Nie, Wancai; Xiong, Ying; Xiao, Di; Xu, Jie; Zhong, Shoukang; Yong, Jingkang",38.6297677,108.260556,"Central–eastern Ordos Basin, China",-8.449,60.1274,462,Tropical,Coastal-Continental,467-457,Ordovician,Middle-Late,Darriwilian-Sandbian,Majiagou Formation,Ordos Basin,2025,10.3390/min15030236,"Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China","Yang, Mengying, et al. “Differential Evolution and Main Controlling Factors of Inner-Platform Carbonate Reservoirs in Restricted–Evaporative Environment: A Case Study of O2m56 in the Ordos Basin, North China.” Minerals, vol. 15, no. 3, 3, Mar. 2025, p. 236. www.mdpi.com, https://doi.org/10.3390/min15030236.",
150,153,Yang,Xiyan,"Bao, Hongping; Ren, Junfeng; Ma, Zhangrong",37.59923595,108.7898086,"Jinbian county, China",-9.23,60.4748,463.8,Tropical,Coastal-Continental,,Ordovician,Middle,Darriwilian,Majiagou Formation,Ordos Basin,2017,10.11885/j.issn.1674-5086.2015.09.07.01,"Characteristics and Controlling Factors of Dolomite Reservoirs in the Ma55 Sub-member of Ordovician in Majiagou, Ordos Basin","Yang, Xiyan, et al. “Characteristics and Controlling Factors of Dolomite Reservoirs in the Ma55 Sub-Member of Ordovician in Majiagou, Ordos Basin.” Xinan Shiyou Daxue Xuebao/Journal of Southwest Petroleum University, vol. 39, no. 2, 2017, pp. 27–34. Scopus, Scopus, https://doi.org/10.11885/j.issn.1674-5086.2015.09.07.01.",
65,65,He,Gang,"Lu, Tao; Lei, Bian-Jun; Lan, Yi-Fei",37.484655,108.711118,"Jingbian, China",-4.6997,64.99,481.965,Arid,Continental,,Ordovician,Early,-,majiagou formation,Jingbian Gas Field,2011,10.3863/j.issn.1674-5086.2011.03.003,Diagenesis and porosity evolution of the reservoir of Ma51-2 submember of eastern Jingbian gas field,"He, G., et al. “Diagenesis and Porosity Evolution of the Reservoir of Ma51-2 Submember of Eastern Jingbian Gas Field.” Xinan Shiyou Daxue Xuebao/Journal of Southwest Petroleum University, vol. 33, no. 3, 2011, pp. 18–26. Scopus, Scopus, https://doi.org/10.3863/j.issn.1674-5086.2011.03.003.",
139,139,Sulli,A,"Interbartolo, F",37.830796,13.155691,"Maranfusa Mt., Sicily, Italy",32.205,12.7189,11.41,Warm Temperate,Coastal,13.82-9,Neogene,Miocene,Serravallian-Lower Tortonian,Marne di S. Cipirello,Monte Maranfusa Succession,2016,10.1016/j.sedgeo.2015.10.013,Subaerial exposure and drowning processes in a carbonate platform during the Mesozoic Tethyan rifting: The case of the Jurassic succession of Western Sicily (central Mediterranean),"Sulli, A., and F. Interbartolo. “Subaerial Exposure and Drowning Processes in a Carbonate Platform during the Mesozoic Tethyan Rifting: The Case of the Jurassic Succession of Western Sicily (Central Mediterranean).” Sedimentary Geology, vol. 331, Jan. 2016, pp. 63–77. DOI.org (Crossref), https://doi.org/10.1016/j.sedgeo.2015.10.013.",
31,31,Chen,Pei-yuan,"Guo, Lina; Li, Chen; Tong, Yi",32.563176,46.293076,SW Iraq,8.8471,48.115,94.945,Arid,Coastal-Continental,,Cretaceous,Late,Cenomanian-Turonian,Mishrif Formation,Missan Oil Fields,2022,10.1007/s11707-020-0864-7,"Karstification characteristics of the Cenomanian–Turonian  Mishrif Formation in the Missan Oil Fields, southeastern Iraq,  and their effects on reservoirs","Chen, Peiyuan, et al. “Karstification Characteristics of the Cenomanian-Turonian Mishrif Formation in the Missan Oil Fields, Southeastern Iraq, and Their Effects on Reservoirs.” Frontiers of Earth Science, vol. 16, no. 2, June 2022, pp. 435–45. Springer Link, https://doi.org/10.1007/s11707-020-0864-7.",
106,107,Raspini,Arturo,-,40.683137,14.50763,"Monte Faito, Italy",22.4177,30.5841,116.55,Tropical,Coastal,,Cretaceous,Early,Hauterivian-Albian,Monte Faito,Southern Apennines,2001,10.1144/jgs.158.2.353,"Stacking pattern of cyclic carbonate platform strata: Lower Cretaceous of southern Apennines, Italy","Raspini, Arturo. “Stacking Pattern of Cyclic Carbonate Platform Strata: Lower Cretaceous of Southern Apennines, Italy.” Journal of the Geological Society, vol. 158, no. 2, Mar. 2001, pp. 353–66. DOI.org (Crossref), https://doi.org/10.1144/jgs.158.2.353.",
47,47,D'Argenio,B.,"Ferreri, V; Iorio, M; Raspini, A.; Tarling, D.H.",41.158732,14.253794,"Monte Raggeto, Italy",20.3254,33.1317,123.95,Tropical,Coastal,,Cretaceous,Early,Barremian,Monte Raggeto,Southern Apennines,1999,10.1144/GSL.SP.1999.151.01.15,"Diagenesis and remanence acquisition in the Cretaceous carbonate sediments of Monte Raggeto, southern Italy","D’Argenio, B., et al. “Diagenesis and Remanence Acquisition in the Cretaceous Carbonate Sediments of Monte Raggeto, Southern Italy.” Geological Society, London, Special Publications, vol. 151, no. 1, Jan. 1999, pp. 147–56. DOI.org (Crossref), https://doi.org/10.1144/GSL.SP.1999.151.01.15.",
23,23,Buonocunto,Francesco P.,"D'Argenio, Bruno; Ferreri, Vittoria; Sandulli, Rosaria",41.220131,14.254525,"Campania Apennines, Italy",24.8309,23.7673,84.675,Arid,Coastal,,Cretaceous,Late,Santonian,Monte Sant'Erasmo,southern Apennines,1999,10.1006/cres.1998.0138,"Orbital cyclostratigraphy and sequence stratigraphy of Upper Cretaceous platform carbonates at Monte Sant’Erasmo, southern Apennines, Italy","Buonocunto, Francesco P., et al. “Orbital Cyclostratigraphy and Sequence Stratigraphy of Upper Cretaceous Platform Carbonates at Monte Sant’Erasmo, Southern Apennines, Italy.” Cretaceous Research, vol. 20, no. 1, Feb. 1999, pp. 81–95. DOI.org (Crossref), https://doi.org/10.1006/cres.1998.0138.",
107,106,Raspini,Arturo,-,40.734133,14.92362,"Monte Tobenna, Italy",22.2074,31.0527,117.3,Tropical,Coastal,,Cretaceous,Early,Aptian,Monte Tobenna,Southern Apennines,1998,10.1006/cres.1997.0103,"Microfacies analysis of shallow water carbonates and evidence of hierarchically organized cycles: Aptian of Monte Tobenna, southern Apennines, Italy","Raspini, Arturo. “Microfacies Analysis of Shallow Water Carbonates and Evidence of Hierarchically Organized Cycles: Aptian of Monte Tobenna, Southern Apennines, Italy.” Cretaceous Research, vol. 19, no. 2, Apr. 1998, pp. 197–223. DOI.org (Crossref), https://doi.org/10.1006/cres.1997.0103.",
43,43,Courgeon,S,"Jorry, SJ; Jouet, G; Camoin, G; BouDagher-Fadel, MK; Bachelery, P; Caline, B; Boichard, R; Revillon, S; Thomas, Y; Thereau, E; Guerin, C",-21.517452,39.716821,"Mozambique Channel, Indian Ocean",-25.7155,40.9151,9.438,Arid,Coastal,11.63-7.246,Neogene,Miocene,Tortonian,MOZ1-DR20-01 Atoll,Mozambique Channel,2017,10.1016/j.sedgeo.2017.04.008,Impact of tectonic and volcanism on the Neogene evolution of isolated carbonate platforms (SW Indian Ocean),"Courgeon, S., et al. “Impact of Tectonic and Volcanism on the Neogene Evolution of Isolated Carbonate Platforms (SW Indian Ocean).” Sedimentary Geology, vol. 355, June 2017, pp. 114–31. ScienceDirect, https://doi.org/10.1016/j.sedgeo.2017.04.008.",
111,111,Sandström,Olof,-,57.349682,18.738977,"Ljugarn, Sweden",-11.1834,-53.6672,423.87,Arid,Coastal,,Silurian,Late,Ludfordian,N,Gotland Sweden,1998,10.1080/11035899801204365,"Sediments and stromatoporoid morphotypes in Ludfordian (Upper Silurian) reefal sea stacks on Gotland, Sweden","Sandström, Olof. “Sediments and Stromatoporoid Morphotypes in Ludfordian (Upper Silurian) Reefal Sea Stacks on Gotland, Sweden.” GFF, vol. 120, no. 4, Dec. 1998, pp. 365–71. Taylor and Francis+NEJM, https://doi.org/10.1080/11035899801204365.",
63,63,Grover Jr,George,"Read, J.F.",37.389001,-80.29303,"SW Virginia, USA",-18.3972,-131.117,470.34,Arid,Coastal-Continental,,Ordovician,Middle,-,New Market Limestone,-,1978,10.1306/212F74AA-2B24-11D7-8648000102C1865D,"Fenestral and associated vadose diagenetic fabrics of tidal flat carbonates, Middle Ordovician New Market Limestone, southwestern Virginia","Grover, G., and J. F. Read. “Fenestral and Associated Vadose Diagenetic Fabrics of Tidal Flat Carbonates, Middle Ordovician New Market Limestone, Southwestern Virginia.” Journal of Sedimentary Research, vol. 48, no. 2, June 1978, pp. 453–73. Silverchair, https://doi.org/10.1306/212F74AA-2B24-11D7-8648000102C1865D.",
118,120,Schweizer,Volker,-,48.016299,8.895046,"Muhlheim, Germany",32.9662,34.2842,158.155,Arid,Coastal-Continental,,Jurassic,Late,Oxfordian,O,Swabian Alb,1987,10.1007/BF02536784,Die Schwamm-Algen-Fazies im Weißen Jura der westlichen Schwäbischen Alb,"Schweizer, Volker. “Die Schwamm-Algen-Fazies Im Weißen Jura Der Westlichen Schwäbischen Alb.” Facies, vol. 17, no. 1, 1987, pp. 197–202. Scopus, Scopus, https://doi.org/10.1007/BF02536784.",
119,119,Schweizer,Volker,-,48.173115,8.973505,"Messtetten, Germany",33.1315,34.2871,158.155,Arid,Coastal-Continental,,Jurassic,Late,Oxfordian,O,Swabian Alb,1987,10.1007/BF02536784,Die Schwamm-Algen-Fazies im Weißen Jura der westlichen Schwäbischen Alb,"Schweizer, Volker. “Die Schwamm-Algen-Fazies Im Weißen Jura Der Westlichen Schwäbischen Alb.” Facies, vol. 17, no. 1, 1987, pp. 197–202. Scopus, Scopus, https://doi.org/10.1007/BF02536784.",
120,118,Schweizer,Volker,-,48.270458,8.859648,"Balingen, Germany",33.2012,34.1654,158.155,Arid,Coastal-Continental,,Jurassic,Late,Oxfordian,O,Swabian Alb,1987,10.1007/BF02536784,Die Schwamm-Algen-Fazies im Weißen Jura der westlichen Schwäbischen Alb,"Schweizer, Volker. “Die Schwamm-Algen-Fazies Im Weißen Jura Der Westlichen Schwäbischen Alb.” Facies, vol. 17, no. 1, 1987, pp. 197–202. Scopus, Scopus, https://doi.org/10.1007/BF02536784.",
141,141,Tobin,Kenneth J,"Steinhauff, D. Mark; Walker, Kenneth R.",36.416525,-83.30266,"Tennessee, USA",-18.347,-125.2986,455.95,Arid,Coastal-Continental,460.9-451,Ordovician,Late,Carodocian,P,Knox Supergroup,1999,10.1016/S0031-0182(98)00221-1,Ordovician meteoric carbon and oxygen isotopic values: implications for the latitudinal variations of ancient stable isotopic values,"Tobin, Kenneth J., et al. “Ordovician Meteoric Carbon and Oxygen Isotopic Values: Implications for the Latitudinal Variations of Ancient Stable Isotopic Values.” Palaeogeography, Palaeoclimatology, Palaeoecology, vol. 150, no. 3, July 1999, pp. 331–42. ScienceDirect, https://doi.org/10.1016/S0031-0182(98)00221-1.",
6,7,Armenteros,Ildefonso,,41.362802,-2.671756,"Fuentegelmes, Spain",36.0818,-2.8268,14.185,Warm Temperate,Coastal-Continental,,Neogene,Miocene,-,"Palustrine facies,",Almazán Basin,2010,10.1016/S0070-4571(09)06202-5,Chapter 2 Diagenesis of Carbonates in Continental Settings,"Armenteros, Ildefonso. “Chapter 2 Diagenesis of Carbonates in Continental Settings.” Developments in Sedimentology, vol. 62, Elsevier, 2010, pp. 61–151. DOI.org (Crossref), https://doi.org/10.1016/S0070-4571(09)06202-5.",
132,132,Soreghan,Gerilyn S.,"Engel, Michael H.; Furley, Roger A.; Giles, Katherine A.",33.014491,-106.616351,"Hembrillo Canyon, New Mexico, USA",2.0166,-36.7277,301.2,Tropical,Continental,303.4-299,Carboniferous,Late,Virgilian,Panther Seep Formation,Orogrande Basin,2000,10.1306/032100701315,"Glacioeustatic Transgressive Reflux: Stratiform Dolomite in Pennsylvanian Bioherms of the Western Orogrande Basin, New Mexico","Soreghan, Gerilyn S., et al. “Glacioeustatic Transgressive Reflux: Stratiform Dolomite in Pennsylvanian Bioherms of the Western Orogrande Basin, New Mexico.” Journal of Sedimentary Research, vol. 70, no. 6, Nov. 2000, pp. 1315–32. DOI.org (Crossref), https://doi.org/10.1306/032100701315.",
45,45,Cvetko Tesovic,Blanka,"Gusic, Ivan; Jelaska, Vladimir; Buckovic, Damir",43.344338,16.737883,"Island of Brač, Croatia",26.0772,24.9248,77.91,Boreotropical,Coastal,,Cretaceous,Late,Campanian,Pučišća Fmt,Island of Brač,2001,10.1006/cres.2001.0279,"Stratigraphy and microfacies of the Upper Cretaceous Pučišća Formation, Island of Brač, Croatia","Cvetko Tesovic;, Blanka, et al. “Stratigraphy and Microfacies of the Upper Cretaceous Pučišća Formation, Island of Brač, Croatia.” Cretaceous Research, vol. 22, no. 5, Oct. 2001, pp. 591–613. DOI.org (Crossref), https://doi.org/10.1006/cres.2001.0279.",
144,144,Varga,Andrea,"Szakmány, György; Raucsik, Béla",46.150778,17.962361,"Kan, Hungary",33.6204,15.207,44.95,Boreotropical,Coastal,,Paleogene,Eocene,-,Q,Szentlorinc Fmt,2002,10.1556/AGeol.45.2002.3.6,Micromorphology and mineralogy of the Eocene calcrete gravel from the Mecsek Mountains (S Hungary),"Varga, A., et al. “Micromorphology and Mineralogy of the Eocene Calcrete Gravel from the Mecsek Mountains (S Hungary).” Acta Geologica Hungarica, vol. 45, no. 3, 2002, pp. 287–99. Scopus, Scopus, https://doi.org/10.1556/AGeol.45.2002.3.6.",
112,112,Sattler,Ute,"Immenhauser, Adrian; Hillgartner, Heiko; Esteban, Mateu",20.485017,57.791548,"Jabal Madar, Oman",-13.1651,55.7249,119.85,Tropical,Coastal-Continental,,Cretaceous,Early,Barremian-Aptian,Qishn Formation,Huqf area,2005,10.1111/j.1365-3091.2005.00701.x,"Characterization, lateral variability and lateral extent of discontinuity surfaces on a Carbonate Platform (Barremian to Lower Aptian, Oman)","Sattler, Ute, et al. “Characterization, Lateral Variability and Lateral Extent of Discontinuity Surfaces on a Carbonate Platform (Barremian to Lower Aptian, Oman).” Sedimentology, vol. 52, no. 2, 2005, pp. 339–61. Wiley Online Library, https://doi.org/10.1111/j.1365-3091.2005.00701.x.",
77,77,Li,Minglong,"Tan, Xiucheng; Luo, Bing; Zhang, Ya; Su, Chengpeng; Xiao, Di; Zhong, Yuan",32.083169,106.083632,"Guangyuon, China",11.5513,99.5731,277.19,Tropical,Coastal-Continental,290.1-264.28,Permian,Middle,-,Qixia Formation,Sichuan Basin,2020,10.3969/j.issn.1672-7703.2020.03.007,四川盆地西北部中二叠统栖霞组相控早期高频暴露岩溶特征及启示,"Li, M., et al. “四川盆地西北部中二叠统栖霞组相控早期高频暴露岩溶特征及启示.” China Petroleum Exploration, vol. 25, no. 3, 2020, pp. 66–82. Scopus, Scopus, https://doi.org/10.3969/j.issn.1672-7703.2020.03.007.",
131,131,Shang,Junxin,"Feng, Mingyou; Wang, Xingzhi; Zhang, Benjian; Xu, Liang; Liu, Xiaohong",30.405644,102.767384,"Wulong Town, Sichuan China",9.2813,97.1458,277.19,Tropical,Coastal-Continental,290.1-264.28,Permian,Middle,-,Qixia Formation,Sichuan Basin,2023,10.1038/s41598-023-40334-y,"Alteration effects of karstification and hydrothermalism on middle Permian Qixia formation at the Wulong section, South China","Shang, Junxin, et al. “Alteration Effects of Karstification and Hydrothermalism on Middle Permian Qixia Formation at the Wulong Section, South China.” Scientific Reports, vol. 13, no. 1, Aug. 2023, p. 13128. www.nature.com, https://doi.org/10.1038/s41598-023-40334-y.",
78,79,Lu,Feifan,"Tan, Xiucheng; Zhong, Yuan; Luo, Bing; Zhang, Benjian; Zhang, Ya; Li, Minglong; Xiao, Di; Wang, Xiaofang; Zeng, Wei",32.047474,105.10775,"Jiangyou, China",10.8581,95.7209,294.5,Tropical,Coastal-Continental,298.9-290.1,Permian,Early,-,Qixia Formation,Sichuan Basin,2020,10.1016/S1876-3804(20)60131-3,"Origin of the penecontemporaneous sucrosic dolomite in the Permian Qixia Formation, northwestern Sichuan Basin, SW China","Lu, Feifan, et al. “Origin of the Penecontemporaneous Sucrosic Dolomite in the Permian Qixia Formation, Northwestern Sichuan Basin, SW China.” Petroleum Exploration and Development, vol. 47, no. 6, Dec. 2020, pp. 1218–34. ScienceDirect, https://doi.org/10.1016/S1876-3804(20)60131-3.",
79,78,Lu,Feifan,"Tan, Xiucheng; Zhong, Yuan; Luo, Bing; Zhang, Benjian; Zhang, Ya; Li, Minglong; Xiao, Di; Wang, Xiaofang; Zeng, Wei",32.742496,105.548729,"Hejialiang, China",11.6305,95.8821,294.5,Tropical,Coastal-Continental,298.9-290.1,Permian,Early,-,Qixia Formation,Sichuan Basin,2020,10.1016/S1876-3804(20)60131-3,"Origin of the penecontemporaneous sucrosic dolomite in the Permian Qixia Formation, northwestern Sichuan Basin, SW China","Lu, Feifan, et al. “Origin of the Penecontemporaneous Sucrosic Dolomite in the Permian Qixia Formation, Northwestern Sichuan Basin, SW China.” Petroleum Exploration and Development, vol. 47, no. 6, Dec. 2020, pp. 1218–34. ScienceDirect, https://doi.org/10.1016/S1876-3804(20)60131-3.",
